rank,name,position,team,games,minutes,off_rpm,def_rpm,rpm,wins,year
97,Troy Williams,F,SAC,21,14.9,-0.14,0.97,0.83,0.41,2019
99,Jemerrio Jones,F,LAL,6,23.8,-2.51,3.29,0.78,0.20,2019
101,Gordon Hayward,SF,BOS,72,25.9,0.06,0.71,0.77,2.69,2019
103,Boban Marjanovic,C,LAC/PHI,58,11.7,0.42,0.33,0.75,1.01,2019
105,Mason Plumlee,C,DEN,82,21.1,-1.05,1.73,0.68,2.28,2019
107,Kyle Korver,G,CLE/UTAH,70,19.1,0.54,0.13,0.67,1.79,2019
109,Dwight Powell,C,DAL,77,21.6,0.77,-0.12,0.65,2.25,2019
111,Duncan Robinson,F,MIA,15,10.7,-1.07,1.68,0.61,0.22,2019
113,Langston Galloway,SG,DET,80,21.8,-0.13,0.72,0.58,2.12,2019
115,Malik Beasley,SG,DEN,81,23.2,2.12,-1.58,0.54,2.37,2019
117,Danilo Gallinari,PF,LAC,68,30.3,2.04,-1.50,0.54,2.71,2019
119,Cameron Reynolds,SF,MIN,19,13.6,-0.12,0.64,0.52,0.29,2019
82,Domantas Sabonis,PF,IND,74,24.8,-0.41,1.43,1.02,2.91,2019
84,Brook Lopez,C,MIL,81,28.7,0.78,0.21,0.98,3.97,2019
86,Fred VanVleet,PG,TOR,64,27.5,0.09,0.87,0.95,2.73,2019
88,Alex Caruso,SG,LAL,25,21.2,-0.86,1.79,0.93,0.78,2019
90,Vince Carter,G,ATL,76,17.5,-0.11,1.02,0.91,2.09,2019
92,Justise Winslow,PF,MIA,66,29.7,-0.83,1.70,0.87,2.97,2019
94,Royce O'Neale,PF,UTAH,82,20.4,-1.50,2.35,0.86,2.48,2019
96,Jae Crowder,PF,UTAH,80,27.1,0.18,0.67,0.85,3.23,2019
98,Bogdan Bogdanovic,SG,SAC,70,27.8,0.83,-0.02,0.81,2.96,2019
100,Kentavious Caldwell-Pope,SG,LAL,82,24.8,0.90,-0.13,0.77,3.03,2019
102,Omri Casspi,F,MEM,36,14.4,-0.43,1.19,0.77,0.73,2019
104,Luke Kennard,SG,DET,63,22.8,-0.31,1.02,0.70,1.87,2019
106,Norman Powell,G,TOR,60,18.8,0.84,-0.16,0.68,1.55,2019
108,Darren Collison,PG,IND,76,28.2,0.26,0.40,0.66,2.95,2019
110,Raymond Felton,G,OKC,33,11.5,-0.25,0.88,0.63,0.50,2019
112,Jeff Teague,PG,MIN,42,30.1,1.84,-1.25,0.59,1.74,2019
114,Chris Boucher,PF,TOR,28,5.8,-0.03,0.57,0.55,0.19,2019
116,James Nunnally,SF,MIN/HOU,15,6.8,-1.49,2.03,0.54,0.11,2019
118,Donovan Mitchell,SG,UTAH,77,33.7,1.12,-0.60,0.52,3.40,2019
120,Jonas Valanciunas,C,TOR/MEM,49,22.3,-0.14,0.66,0.52,1.42,2019
121,JaKarr Sampson,SF,CHI,4,31.8,0.06,0.42,0.48,0.17,2019
123,John Collins,PF,ATL,61,30.0,1.02,-0.57,0.45,2.37,2019
125,Isaiah Thomas,G,DEN,12,15.1,0.71,-0.27,0.43,0.21,2019
127,Carmelo Anthony,PF,HOU,10,29.4,-1.25,1.65,0.41,0.34,2019
